word,n,prob
31,9,2.7488805947355882e-5
310,1,3.0543117719284313e-6
32,5,1.5271558859642157e-5
"32,2",1,3.0543117719284313e-6
3200,1,3.0543117719284313e-6
32er,1,3.0543117719284313e-6
33,6,1.832587063157059e-5
330,3,9.162935315785295e-6
335,1,3.0543117719284313e-6
337,1,3.0543117719284313e-6
34,8,2.443449417542745e-5
345,1,3.0543117719284313e-6
35,15,4.581467657892647e-5
350,8,2.443449417542745e-5
3500,1,3.0543117719284313e-6
356,1,3.0543117719284313e-6
358,1,3.0543117719284313e-6
36,2,6.1086235438568626e-6
365,1,3.0543117719284313e-6
368,1,3.0543117719284313e-6
37,2,6.1086235438568626e-6
3750,1,3.0543117719284313e-6
38,9,2.7488805947355882e-5
380,1,3.0543117719284313e-6
3800,1,3.0543117719284313e-6
39,8,2.443449417542745e-5
3a,11,3.359742949121275e-5
3b,1,3.0543117719284313e-6
3m,1,3.0543117719284313e-6
4,26,7.941210607013922e-5
"4,34",1,3.0543117719284313e-6
"4,5",2,6.1086235438568626e-6
"4,6",1,3.0543117719284313e-6
"4,7",1,3.0543117719284313e-6
"4,8",1,3.0543117719284313e-6
"4,9",1,3.0543117719284313e-6
4.0,1,3.0543117719284313e-6
40,34,1.0384660024556667e-4
400,21,6.414054721049705e-5
400'000,1,3.0543117719284313e-6
4000,2,6.1086235438568626e-6
4084,1,3.0543117719284313e-6
41,2,6.1086235438568626e-6
419,1,3.0543117719284313e-6
42,2,6.1086235438568626e-6
"42,195",1,3.0543117719284313e-6
"42,2",1,3.0543117719284313e-6
43,5,1.5271558859642157e-5
430,1,3.0543117719284313e-6
437,2,6.1086235438568626e-6
44,9,2.7488805947355882e-5
"44,9",1,3.0543117719284313e-6
45,8,2.443449417542745e-5
450,1,3.0543117719284313e-6
4500,2,6.1086235438568626e-6
457,1,3.0543117719284313e-6
46,2,6.1086235438568626e-6
47,2,6.1086235438568626e-6
470,1,3.0543117719284313e-6
4700,1,3.0543117719284313e-6
48,1,3.0543117719284313e-6
488,1,3.0543117719284313e-6
49,11,3.359742949121275e-5
490,1,3.0543117719284313e-6
4er,1,3.0543117719284313e-6
4matic,1,3.0543117719284313e-6
5,54,1.649328356841353e-4
"5,2",1,3.0543117719284313e-6
"5,4",1,3.0543117719284313e-6
"5,5",1,3.0543117719284313e-6
"5,7",2,6.1086235438568626e-6
"5,9",1,3.0543117719284313e-6
50,76,2.321276946665608e-4
500,17,5.192330012278333e-5
500'000,1,3.0543117719284313e-6
5000,2,6.1086235438568626e-6
50er,1,3.0543117719284313e-6
51,3,9.162935315785295e-6
510,1,3.0543117719284313e-6
5150,1,3.0543117719284313e-6
52,6,1.832587063157059e-5
520,3,9.162935315785295e-6
53,3,9.162935315785295e-6
5300,1,3.0543117719284313e-6
535,1,3.0543117719284313e-6
54,3,9.162935315785295e-6
55,3,9.162935315785295e-6
550,1,3.0543117719284313e-6
56,2,6.1086235438568626e-6
560'000,1,3.0543117719284313e-6
57,2,6.1086235438568626e-6
572,1,3.0543117719284313e-6
58,3,9.162935315785295e-6
580,1,3.0543117719284313e-6
59,2,6.1086235438568626e-6
5g,43,1.3133540619292256e-4
6,28,8.552072961399607e-5
"6,3",1,3.0543117719284313e-6
"6,4",4,1.2217247087713725e-5
"6,7",2,6.1086235438568626e-6
60,21,6.414054721049705e-5
600,6,1.832587063157059e-5
6000,4,1.2217247087713725e-5
61,3,9.162935315785295e-6
62,4,1.2217247087713725e-5
6200,1,3.0543117719284313e-6
63,3,9.162935315785295e-6
636,1,3.0543117719284313e-6
637,1,3.0543117719284313e-6
64,3,9.162935315785295e-6
640,1,3.0543117719284313e-6
6400,1,3.0543117719284313e-6
65,14,4.2760364806998036e-5
6500,2,6.1086235438568626e-6
6520,1,3.0543117719284313e-6
66,8,2.443449417542745e-5
67,3,9.162935315785295e-6
68,3,9.162935315785295e-6
680,1,3.0543117719284313e-6
6800,1,3.0543117719284313e-6
69,7,2.1380182403499018e-5
7,39,1.1911815910520882e-4
"7,5",1,3.0543117719284313e-6
70,28,8.552072961399607e-5
70.3,1,3.0543117719284313e-6
700,7,2.1380182403499018e-5
7000,2,6.1086235438568626e-6
71,2,6.1086235438568626e-6
72,3,9.162935315785295e-6
720,2,6.1086235438568626e-6
729,1,3.0543117719284313e-6
73,5,1.5271558859642157e-5
730,1,3.0543117719284313e-6
737,46,1.4049834150870784e-4
74,5,1.5271558859642157e-5
747,1,3.0543117719284313e-6
75,16,4.88689883508549e-5
750,3,9.162935315785295e-6
76,4,1.2217247087713725e-5
768,2,6.1086235438568626e-6
77,4,1.2217247087713725e-5
78,2,6.1086235438568626e-6
79,4,1.2217247087713725e-5
790,1,3.0543117719284313e-6
8,25,7.635779429821078e-5
"8,3",1,3.0543117719284313e-6
"8,5",1,3.0543117719284313e-6
"8,53",1,3.0543117719284313e-6
"8,6",1,3.0543117719284313e-6
8'544'527,1,3.0543117719284313e-6
80,19,5.80319236666402e-5
800,8,2.443449417542745e-5
8000,1,3.0543117719284313e-6
808,1,3.0543117719284313e-6
80th,1,3.0543117719284313e-6
81,3,9.162935315785295e-6
82,6,1.832587063157059e-5
83,2,6.1086235438568626e-6
"83,8",1,3.0543117719284313e-6
