word,n,prob
2300,2,3.501805180570584e-6
232,2,3.501805180570584e-6
236,1,1.750902590285292e-6
237,1,1.750902590285292e-6
24,137,2.3987365486908502e-4
24.50,1,1.750902590285292e-6
24'000,1,1.750902590285292e-6
24'800,1,1.750902590285292e-6
240,5,8.75451295142646e-6
246,1,1.750902590285292e-6
249,4,7.003610361141168e-6
25,150,2.626353885427938e-4
25'000,11,1.9259928493138213e-5
250,16,2.8014441444564673e-5
250'000,6,1.0505415541711753e-5
2500,4,7.003610361141168e-6
256,1,1.750902590285292e-6
257,1,1.750902590285292e-6
258,1,1.750902590285292e-6
259,1,1.750902590285292e-6
25hours,1,1.750902590285292e-6
26,98,1.7158845384795862e-4
"26,5",1,1.750902590285292e-6
26'000,4,7.003610361141168e-6
260,3,5.2527077708558765e-6
2600,3,5.2527077708558765e-6
261,1,1.750902590285292e-6
265,1,1.750902590285292e-6
266,1,1.750902590285292e-6
267,1,1.750902590285292e-6
269,1,1.750902590285292e-6
27,87,1.523285253548204e-4
27'000,2,3.501805180570584e-6
270,7,1.2256318131997045e-5
273,3,5.2527077708558765e-6
274,1,1.750902590285292e-6
2782,1,1.750902590285292e-6
28,83,1.4532491499367925e-4
"28,7",1,1.750902590285292e-6
28'000,2,3.501805180570584e-6
280,2,3.501805180570584e-6
2800,1,1.750902590285292e-6
281,1,1.750902590285292e-6
283,1,1.750902590285292e-6
285,2,3.501805180570584e-6
289,1,1.750902590285292e-6
2896,1,1.750902590285292e-6
29,94,1.6458484348681746e-4
29'000,1,1.750902590285292e-6
290,4,7.003610361141168e-6
2900,1,1.750902590285292e-6
293,2,3.501805180570584e-6
294,1,1.750902590285292e-6
295,5,8.75451295142646e-6
297,1,1.750902590285292e-6
299,1,1.750902590285292e-6
2er,1,1.750902590285292e-6
2k19,1,1.750902590285292e-6
2x2,3,5.2527077708558765e-6
3,341,5.970577832872845e-4
"3,1",1,1.750902590285292e-6
"3,2",1,1.750902590285292e-6
"3,3",3,5.2527077708558765e-6
"3,5",3,5.2527077708558765e-6
"3,6",6,1.0505415541711753e-5
"3,7",3,5.2527077708558765e-6
"3,8",4,7.003610361141168e-6
"3,9",1,1.750902590285292e-6
3'000,1,1.750902590285292e-6
3'608'899,1,1.750902590285292e-6
30,206,3.6068593359877014e-4
"30,7",1,1.750902590285292e-6
30.12,2,3.501805180570584e-6
30'000,16,2.8014441444564673e-5
30'187,1,1.750902590285292e-6
300,54,9.454873987540578e-5
300'000,7,1.2256318131997045e-5
3000,15,2.6263538854279383e-5
303,2,3.501805180570584e-6
305,1,1.750902590285292e-6
30er,2,3.501805180570584e-6
31,74,1.295667916811116e-4
31'000,2,3.501805180570584e-6
310,2,3.501805180570584e-6
311'466,1,1.750902590285292e-6
315,1,1.750902590285292e-6
315'000,2,3.501805180570584e-6
319,1,1.750902590285292e-6
32,31,5.4277980298844055e-5
32'000,2,3.501805180570584e-6
320,3,5.2527077708558765e-6
3200,1,1.750902590285292e-6
3223,1,1.750902590285292e-6
326,1,1.750902590285292e-6
33,40,7.003610361141168e-5
330,2,3.501805180570584e-6
330'000,1,1.750902590285292e-6
3350,1,1.750902590285292e-6
34,48,8.404332433369402e-5
"34,26",1,1.750902590285292e-6
34'350,1,1.750902590285292e-6
340,1,1.750902590285292e-6
3400,2,3.501805180570584e-6
3425,1,1.750902590285292e-6
3454,1,1.750902590285292e-6
346,2,3.501805180570584e-6
35,51,8.92960321045499e-5
35'000,3,5.2527077708558765e-6
350,6,1.0505415541711753e-5
350'000,6,1.0505415541711753e-5
3500,5,8.75451295142646e-6
355,1,1.750902590285292e-6
3570,1,1.750902590285292e-6
358,1,1.750902590285292e-6
359,2,3.501805180570584e-6
36,32,5.6028882889129345e-5
"36,6",1,1.750902590285292e-6
360,3,5.2527077708558765e-6
360'000,1,1.750902590285292e-6
3600,2,3.501805180570584e-6
361,1,1.750902590285292e-6
37,44,7.703971397255285e-5
"37,8",2,3.501805180570584e-6
37'000,2,3.501805180570584e-6
370,3,5.2527077708558765e-6
3700,1,1.750902590285292e-6
375,1,1.750902590285292e-6
3750,1,1.750902590285292e-6
379,1,1.750902590285292e-6
38,41,7.178700620169697e-5
"38,5",1,1.750902590285292e-6
380,1,1.750902590285292e-6
380'000,1,1.750902590285292e-6
39,30,5.2527077708558765e-5
39'000,1,1.750902590285292e-6
390,2,3.501805180570584e-6
398,1,1.750902590285292e-6
3d,6,1.0505415541711753e-5
3dpainterbabst,1,1.750902590285292e-6
3er,1,1.750902590285292e-6
3ers,1,1.750902590285292e-6
3g,1,1.750902590285292e-6
3x,2,3.501805180570584e-6
3x2,2,3.501805180570584e-6
4,237,4.1496391389761423e-4
"4,1",1,1.750902590285292e-6
"4,2",1,1.750902590285292e-6
"4,3",1,1.750902590285292e-6
"4,4",2,3.501805180570584e-6
"4,5",8,1.4007220722282336e-5
"4,6",3,5.2527077708558765e-6
"4,8",2,3.501805180570584e-6
"4,85",1,1.750902590285292e-6
"4,9",2,3.501805180570584e-6
4.0,2,3.501805180570584e-6
4.15,1,1.750902590285292e-6
4.30,1,1.750902590285292e-6
4.70,1,1.750902590285292e-6
40,119,2.0835740824394976e-4
40'000,4,7.003610361141168e-6
400,25,4.37725647571323e-5
400'000,5,8.75451295142646e-6
4000,15,2.6263538854279383e-5
41,18,3.151624662513526e-5
419,1,1.750902590285292e-6
42,33,5.7779785479414635e-5
42'000,1,1.750902590285292e-6
42'500,1,1.750902590285292e-6
420,2,3.501805180570584e-6
420'000,2,3.501805180570584e-6
421,2,3.501805180570584e-6
422,1,1.750902590285292e-6
43,34,5.953068806969993e-5
431'845,1,1.750902590285292e-6
432,1,1.750902590285292e-6
4335,1,1.750902590285292e-6
435,1,1.750902590285292e-6
438'000,1,1.750902590285292e-6
44,30,5.2527077708558765e-5
44'000,1,1.750902590285292e-6
440,1,1.750902590285292e-6
45,35,6.128159065998522e-5
45'000,4,7.003610361141168e-6
450,9,1.575812331256763e-5
450'000,2,3.501805180570584e-6
4500,3,5.2527077708558765e-6
455,1,1.750902590285292e-6
4564,1,1.750902590285292e-6
45km,1,1.750902590285292e-6
46,18,3.151624662513526e-5
467'854,1,1.750902590285292e-6
47,21,3.6768954395991136e-5
47'000,1,1.750902590285292e-6
470,1,1.750902590285292e-6
473'700,1,1.750902590285292e-6
474,1,1.750902590285292e-6
475'000,3,5.2527077708558765e-6
48,25,4.37725647571323e-5
480,1,1.750902590285292e-6
49,18,3.151624662513526e-5
"49,21",1,1.750902590285292e-6
"49,9",1,1.750902590285292e-6
49'000,1,1.750902590285292e-6
49'250,1,1.750902590285292e-6
"490,484",1,1.750902590285292e-6
493,1,1.750902590285292e-6
4936,1,1.750902590285292e-6
499'000,1,1.750902590285292e-6
49ers,2,3.501805180570584e-6
4g,1,1.750902590285292e-6
4k,1,1.750902590285292e-6
4x100,1,1.750902590285292e-6
4x4,2,3.501805180570584e-6
4x400,1,1.750902590285292e-6
4zr,1,1.750902590285292e-6
5,254,4.4472925793246417e-4
"5,16",1,1.750902590285292e-6
"5,20",1,1.750902590285292e-6
"5,4",1,1.750902590285292e-6
"5,5",2,3.501805180570584e-6
"5,6",1,1.750902590285292e-6
"5,7",2,3.501805180570584e-6
"5,9",3,5.2527077708558765e-6
5.46,1,1.750902590285292e-6
50,142,2.486281678205115e-4
50'000,16,2.8014441444564673e-5
500,44,7.703971397255285e-5
500'000,10,1.750902590285292e-5
5000,20,3.501805180570584e-5
5018,1,1.750902590285292e-6
505,2,3.501805180570584e-6
50667,3,5.2527077708558765e-6
50er,4,7.003610361141168e-6
51,40,7.003610361141168e-5
5147,1,1.750902590285292e-6
518,1,1.750902590285292e-6
52,40,7.003610361141168e-5
52'800,2,3.501805180570584e-6
520,1,1.750902590285292e-6
526,2,3.501805180570584e-6
53,26,4.552346734741759e-5
"53,9",1,1.750902590285292e-6
53'000,1,1.750902590285292e-6
530,3,5.2527077708558765e-6
535,1,1.750902590285292e-6
537,1,1.750902590285292e-6
54,16,2.8014441444564673e-5
54'000,2,3.501805180570584e-6
540,2,3.501805180570584e-6
541,2,3.501805180570584e-6
55,22,3.8519856986276426e-5
55'146,1,1.750902590285292e-6
550,6,1.0505415541711753e-5
5500,1,1.750902590285292e-6
555,2,3.501805180570584e-6
56,19,3.326714921542055e-5
560,1,1.750902590285292e-6
567'000,1,1.750902590285292e-6
57,13,2.2761733673708796e-5
57'920,1,1.750902590285292e-6
578,1,1.750902590285292e-6
58,16,2.8014441444564673e-5
580,1,1.750902590285292e-6
59,13,2.2761733673708796e-5
"59,6",1,1.750902590285292e-6
5900,2,3.501805180570584e-6
5c,1,1.750902590285292e-6
5er,1,1.750902590285292e-6
5g,61,1.0680505800740281e-4
5x2,4,7.003610361141168e-6
6,257,4.4998196570332006e-4
"6,3",4,7.003610361141168e-6
"6,4",5,8.75451295142646e-6
"6,5",3,5.2527077708558765e-6
"6,6",2,3.501805180570584e-6
"6,8",3,5.2527077708558765e-6
6.1,1,1.750902590285292e-6
6.10,1,1.750902590285292e-6
60,48,8.404332433369402e-5
60'000,2,3.501805180570584e-6
600,30,5.2527077708558765e-5
600'000,5,8.75451295142646e-6
6000,11,1.9259928493138213e-5
6000m2,1,1.750902590285292e-6
60er,2,3.501805180570584e-6
61,12,2.1010831083423506e-5
617,1,1.750902590285292e-6
62,15,2.6263538854279383e-5
622,5,8.75451295142646e-6
625,1,1.750902590285292e-6
63,12,2.1010831083423506e-5
"63,7",1,1.750902590285292e-6
634,1,1.750902590285292e-6
636,1,1.750902590285292e-6
64,15,2.6263538854279383e-5
64'000,1,1.750902590285292e-6
64'524,3,5.2527077708558765e-6
640,1,1.750902590285292e-6
645'000,1,1.750902590285292e-6
65,25,4.37725647571323e-5
65'000,1,1.750902590285292e-6
650,4,7.003610361141168e-6
6500,1,1.750902590285292e-6
66,19,3.326714921542055e-5
662,1,1.750902590285292e-6
67,8,1.4007220722282336e-5
674,1,1.750902590285292e-6
68,6,1.0505415541711753e-5
6800,1,1.750902590285292e-6
69,13,2.2761733673708796e-5
690,2,3.501805180570584e-6
6984,1,1.750902590285292e-6
699,1,1.750902590285292e-6
6ix9ine,7,1.2256318131997045e-5
7,163,2.853971222165026e-4
"7,1",1,1.750902590285292e-6
"7,5",2,3.501805180570584e-6
"7,6",1,1.750902590285292e-6
"7,8",1,1.750902590285292e-6
7.32,1,1.750902590285292e-6
70,41,7.178700620169697e-5
70.3,1,1.750902590285292e-6
70'000,4,7.003610361141168e-6
700,11,1.9259928493138213e-5
700'000,7,1.2256318131997045e-5
7000,5,8.75451295142646e-6
702,1,1.750902590285292e-6
7093,1,1.750902590285292e-6
70ern,1,1.750902590285292e-6
71,12,2.1010831083423506e-5
715,1,1.750902590285292e-6
718,1,1.750902590285292e-6
718er,1,1.750902590285292e-6
72,12,2.1010831083423506e-5
72'000,2,3.501805180570584e-6
7200,1,1.750902590285292e-6
7250,1,1.750902590285292e-6
727,1,1.750902590285292e-6
73,12,2.1010831083423506e-5
737,42,7.353790879198227e-5
74,11,1.9259928493138213e-5
747,5,8.75451295142646e-6
749,2,3.501805180570584e-6
75,25,4.37725647571323e-5
75'000,3,5.2527077708558765e-6
750,3,5.2527077708558765e-6
750'000,3,5.2527077708558765e-6
7500,4,7.003610361141168e-6
76,7,1.2256318131997045e-5
7600,2,3.501805180570584e-6
768,1,1.750902590285292e-6
77,16,2.8014441444564673e-5
770,3,5.2527077708558765e-6
7700,2,3.501805180570584e-6
777,2,3.501805180570584e-6
778,1,1.750902590285292e-6
78,13,2.2761733673708796e-5
786,1,1.750902590285292e-6
787,1,1.750902590285292e-6
79,6,1.0505415541711753e-5
7a,1,1.750902590285292e-6
8,107,1.8734657716052626e-4
"8,0",1,1.750902590285292e-6
"8,1",1,1.750902590285292e-6
8.10,1,1.750902590285292e-6
80,40,7.003610361141168e-5
80'000,4,7.003610361141168e-6
800,25,4.37725647571323e-5
800'000,2,3.501805180570584e-6
8000,9,1.575812331256763e-5
80er,9,1.575812331256763e-5
80s,1,1.750902590285292e-6
81,10,1.750902590285292e-5
810'000,1,1.750902590285292e-6
812,1,1.750902590285292e-6
814,1,1.750902590285292e-6
82,11,1.9259928493138213e-5
"82,5",1,1.750902590285292e-6
820,1,1.750902590285292e-6
83,11,1.9259928493138213e-5
83'000,1,1.750902590285292e-6
8300,1,1.750902590285292e-6
84,4,7.003610361141168e-6
840,1,1.750902590285292e-6
8447,1,1.750902590285292e-6
85,5,8.75451295142646e-6
850,1,1.750902590285292e-6
850'000,3,5.2527077708558765e-6
8500,1,1.750902590285292e-6
8522,1,1.750902590285292e-6
86,5,8.75451295142646e-6
860,1,1.750902590285292e-6
861,1,1.750902590285292e-6
87,5,8.75451295142646e-6
87'851,1,1.750902590285292e-6
8700,1,1.750902590285292e-6
877,1,1.750902590285292e-6
879,2,3.501805180570584e-6
88,7,1.2256318131997045e-5
885,1,1.750902590285292e-6
89,4,7.003610361141168e-6
8er,1,1.750902590285292e-6
9,66,1.1555957095882927e-4
"9,5",1,1.750902590285292e-6
"9,6",2,3.501805180570584e-6
"9,7",3,5.2527077708558765e-6
"9,75",1,1.750902590285292e-6
"9,8",1,1.750902590285292e-6
9.19,1,1.750902590285292e-6
9'628,1,1.750902590285292e-6
90,46,8.054151915312343e-5
90'000,4,7.003610361141168e-6
900,5,8.75451295142646e-6
900'000,4,7.003610361141168e-6
9000,5,8.75451295142646e-6
90210,3,5.2527077708558765e-6
90d,1,1.750902590285292e-6
90er,2,3.501805180570584e-6
90ern,2,3.501805180570584e-6
90ies,1,1.750902590285292e-6
90s,3,5.2527077708558765e-6
91,8,1.4007220722282336e-5
9100,1,1.750902590285292e-6
911,3,5.2527077708558765e-6
911er,2,3.501805180570584e-6
92,7,1.2256318131997045e-5
92'000,1,1.750902590285292e-6
920,1,1.750902590285292e-6
93,5,8.75451295142646e-6
93'000,1,1.750902590285292e-6
94,4,7.003610361141168e-6
95,8,1.4007220722282336e-5
950,1,1.750902590285292e-6
956'000,1,1.750902590285292e-6
96,4,7.003610361141168e-6
